Model,Dataset,Student Alpha,mAP,mAP@50,mAP@75,mAP@Small,mAP@Medium,mAP@Large,mAR@1,mAR@10,mAR@100,mAR@Small,mAR@Medium,mAR@Large
SSDLite,SODA 01m Binary,0.0,0.3025448,0.5819633,0.26244017,,0.0,0.36630365,0.2716312,0.3539007,0.3539007,,0.0,0.4301724
SSDLite,SODA 01m Binary,0.25,0.41141286,0.6302604,0.48598638,,0.014851485,0.49713707,0.35106382,0.44680852,0.44680852,,0.012,0.5405173
SSDLite,SODA 01m Binary,0.5,0.4147059,0.64029795,0.47760093,,0.014851485,0.49911046,0.34822696,0.4496454,0.4496454,,0.012,0.5439655
SSDLite,SODA 01m Binary,0.75,0.40836763,0.6311083,0.4705191,,0.014851485,0.4933923,0.35106382,0.44609928,0.44609928,,0.012,0.53965515
SSDLite,SODA 01m Binary,1.0,0.039685782,0.06914682,0.041395515,,0.001056111,0.065856166,0.06241135,0.17588653,0.3248227,,0.084,0.37672412
RetinaNet,SODA Tiled Binary,0.0,0.2030071,0.36053416,0.20299558,0.08246178,0.2596834,0.41442022,0.15222482,0.23132318,0.2324356,0.09625151,0.2942029,0.47112462
RetinaNet,SODA Tiled Binary,0.25,0.31208706,0.5227665,0.34096426,0.11473135,0.4303159,0.5887944,0.19590163,0.3501171,0.352459,0.13784765,0.4969203,0.64954406
RetinaNet,SODA Tiled Binary,0.5,0.21260966,0.34906444,0.24213001,0.04539869,0.3029628,0.46775568,0.15708432,0.2382904,0.2382904,0.049334947,0.36050725,0.50820667
RetinaNet,SODA Tiled Binary,0.75,0.30155718,0.52452856,0.31529647,0.12590827,0.3832676,0.57123977,0.18717799,0.33653396,0.3411007,0.15767835,0.4512681,0.61732525
RetinaNet,SODA Tiled Binary,1.0,0.00010422095,0.00026055236,0.0,0.0,0.00010422095,0.0,0.00040983607,0.00052693207,0.00052693207,0.0,0.0016304348,0.0
FCOS,SODA Tiled Binary,0.0,0.28843153,0.52663136,0.290474,0.15401548,0.37427276,0.4896283,0.17851289,0.33214286,0.3388759,0.18899637,0.44347826,0.54012156
FCOS,SODA Tiled Binary,0.25,0.362824,0.6390529,0.37196553,0.21088858,0.4341146,0.6166193,0.20685011,0.40907493,0.4180328,0.26058042,0.50018114,0.67598784
FCOS,SODA Tiled Binary,0.5,0.40860742,0.7212148,0.41618496,0.27429536,0.49944827,0.61625296,0.21569087,0.46001172,0.48067915,0.34498185,0.5684783,0.6744681
FCOS,SODA Tiled Binary,0.75,0.36814433,0.6799075,0.36094454,0.22200623,0.46671492,0.5790549,0.20327869,0.42347774,0.43606558,0.27412334,0.54927534,0.6531915
FCOS,SODA Tiled Binary,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Faster R-CNN,SODA Tiled Binary,0.0,0.28727856,0.53527623,0.2865481,0.13093355,0.36396423,0.5499535,0.18360655,0.3379391,0.34127635,0.16191052,0.4427536,0.6218845
Faster R-CNN,SODA Tiled Binary,0.25,0.39826775,0.7143084,0.39879447,0.24300419,0.49470744,0.6346777,0.20995316,0.44151053,0.4594848,0.2937122,0.5637681,0.7012158
Faster R-CNN,SODA Tiled Binary,0.5,0.4253745,0.7548612,0.43589717,0.2819305,0.4823105,0.68125296,0.220726,0.4641686,0.4827869,0.3337364,0.5519928,0.74133736
Faster R-CNN,SODA Tiled Binary,0.75,0.43712845,0.7594239,0.45631418,0.30663726,0.49412894,0.65585846,0.21656908,0.47617096,0.5048009,0.370133,0.5797101,0.7176292
Faster R-CNN,SODA Tiled Binary,1.0,8.46404e-07,3.7302273e-06,2.7953106e-07,8.5460805e-08,2.5697404e-06,3.4013744e-06,0.0,0.0,0.0040983604,0.0007255139,0.0063405796,0.00881459
SSD,SODA Tiled Binary,0.0,0.17603955,0.32377508,0.17252965,0.021185476,0.24506927,0.43322092,0.14262295,0.20550351,0.20550351,0.028053204,0.30380434,0.48662615
SSD,SODA Tiled Binary,0.25,0.14488219,0.2505501,0.15053405,0.006930693,0.17842583,0.435993,0.13003513,0.16065574,0.16065574,0.0020556226,0.20561594,0.48389056
SSD,SODA Tiled Binary,0.5,0.18198112,0.32153875,0.1955596,0.013465929,0.2546049,0.48873618,0.1498829,0.21129976,0.21129976,0.012938331,0.3,0.5610942
SSD,SODA Tiled Binary,0.75,0.19667149,0.34511167,0.19863762,0.025930872,0.2701165,0.4947154,0.15714286,0.22546838,0.22546838,0.027932286,0.3259058,0.55349547
SSD,SODA Tiled Binary,1.0,7.315448e-05,0.00034263098,8.546218e-06,0.0,0.00012262582,0.00032181895,0.0009953162,0.0072599533,0.02798595,0.0,0.008333334,0.13130699
SSDLite,SODA Tiled Binary,0.0,0.08104146,0.114453435,0.09386161,0.0,0.006930693,0.3934786,0.08741218,0.09168618,0.09168618,0.0,0.0032608695,0.4705167
SSDLite,SODA Tiled Binary,0.25,0.094335005,0.13926661,0.108932145,0.0,0.0077793496,0.4672029,0.09953161,0.10351288,0.10351288,0.0,0.0039855074,0.5306991
SSDLite,SODA Tiled Binary,0.5,0.09617197,0.14144967,0.11752834,0.000990099,0.0055292067,0.47424605,0.1014637,0.10521077,0.10521077,0.00012091899,0.005615942,0.53647417
SSDLite,SODA Tiled Binary,0.75,0.09792533,0.1470914,0.117988035,0.000990099,0.0066831685,0.4802428,0.104859486,0.10796253,0.10796253,0.00048367595,0.0054347827,0.550152
SSDLite,SODA Tiled Binary,1.0,0.0011030437,0.0039351336,0.0003394743,4.3992546e-05,0.00022406217,0.0040347893,0.008665105,0.030210773,0.0807377,0.004353083,0.03713768,0.34589666
RetinaNet,SODA Tiled Multi-label,0.0,0.059381727,0.096539766,0.06863542,0.018924974,0.086147346,0.14170912,0.066366956,0.07821736,0.07821736,0.02151619,0.10623319,0.18433829
RetinaNet,SODA Tiled Multi-label,0.25,0.049947023,0.076596715,0.05675307,0.011831968,0.075114645,0.12998754,0.050460983,0.062070526,0.062070526,0.014903181,0.09044641,0.17110923
RetinaNet,SODA Tiled Multi-label,0.5,0.10208271,0.15163204,0.12612858,0.009396844,0.13840996,0.26048508,0.10701173,0.121196486,0.121196486,0.00840781,0.16315287,0.30930784
RetinaNet,SODA Tiled Multi-label,0.75,0.036700636,0.053546146,0.04626047,0.0062993737,0.04923849,0.11773906,0.038867865,0.044775583,0.044775583,0.006811895,0.06385684,0.14068817
RetinaNet,SODA Tiled Multi-label,1.0,8.452859e-06,2.3751682e-05,1.0367175e-06,0.0,3.0569956e-07,0.0017262178,0.0,8.624407e-05,0.0037899478,0.0,0.0006060606,0.012549019
FCOS,SODA Tiled Multi-label,0.0,0.15711778,0.27972162,0.15565965,0.110198796,0.19779585,0.23553646,0.16465007,0.2145031,0.21454622,0.13779987,0.26240036,0.30408305
FCOS,SODA Tiled Multi-label,0.25,0.22744893,0.3849794,0.24726234,0.12712859,0.29919735,0.34766325,0.22659467,0.30937722,0.30952814,0.17188689,0.37979484,0.46191207
FCOS,SODA Tiled Multi-label,0.5,0.19711961,0.33345816,0.21314412,0.11388148,0.25826532,0.30277422,0.19405173,0.25830942,0.25835255,0.14187406,0.3351015,0.3706871
FCOS,SODA Tiled Multi-label,0.75,0.20020598,0.33904487,0.21561818,0.10560125,0.26528347,0.31529415,0.18953574,0.25693953,0.2571767,0.1432215,0.32352734,0.37586772
FCOS,SODA Tiled Multi-label,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Faster R-CNN,SODA Tiled Multi-label,0.0,0.14322464,0.25680873,0.13739347,0.07699213,0.19702628,0.2211919,0.13660608,0.18286319,0.18340221,0.09502727,0.24060462,0.28548414
Faster R-CNN,SODA Tiled Multi-label,0.25,0.12684467,0.2524695,0.105559446,0.08009238,0.18015918,0.16765662,0.112948895,0.17382379,0.17479403,0.11040854,0.23086427,0.23101747
Faster R-CNN,SODA Tiled Multi-label,0.5,0.21786006,0.39626127,0.21354173,0.14379872,0.26123136,0.3295133,0.20552532,0.28195658,0.2833365,0.19141193,0.32958928,0.39482063
Faster R-CNN,SODA Tiled Multi-label,0.75,0.21578181,0.3727894,0.22035398,0.121235795,0.29023308,0.32135883,0.19740862,0.26568398,0.2668267,0.14955989,0.3427907,0.3850623
Faster R-CNN,SODA Tiled Multi-label,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSD,SODA Tiled Multi-label,0.0,0.040070925,0.07085616,0.042516284,0.0059405942,0.06920554,0.107566886,0.055160955,0.0605536,0.0605536,0.0042613028,0.08300416,0.16807298
SSD,SODA Tiled Multi-label,0.25,0.024232827,0.043195963,0.02419844,0.001320132,0.036717877,0.08751699,0.03117971,0.033753056,0.033753056,0.0006569848,0.04167601,0.12987083
SSD,SODA Tiled Multi-label,0.5,0.052915625,0.09954006,0.047685415,0.006696144,0.09979548,0.109356195,0.067088634,0.07819817,0.07819817,0.0069629597,0.120945565,0.17835496
SSD,SODA Tiled Multi-label,0.75,0.06300241,0.10781094,0.062298197,0.0053613726,0.11488941,0.15295255,0.07826585,0.0877847,0.0877847,0.004850505,0.13688341,0.2147057
SSD,SODA Tiled Multi-label,1.0,0.00066026096,0.0016521144,0.0,0.0,0.0,0.0013205219,0.00038986356,0.00048732944,0.00048732944,0.0,0.0,0.001633987
SSDLite,SODA Tiled Multi-label,0.0,0.025282526,0.03838457,0.027344588,0.0,0.000660066,0.11729197,0.03282315,0.03351097,0.03351097,0.0,0.00032362458,0.17043711
SSDLite,SODA Tiled Multi-label,0.25,0.025626784,0.037691154,0.027856607,0.0,0.0,0.13240167,0.03273298,0.03273298,0.03273298,0.0,0.0,0.1770134
SSDLite,SODA Tiled Multi-label,0.5,0.021807231,0.031462587,0.025712779,0.0,0.0016501651,0.11284577,0.02820227,0.02820227,0.02820227,0.0,0.0015543499,0.15499623
SSDLite,SODA Tiled Multi-label,0.75,0.026157774,0.034870263,0.030824734,0.0,0.0,0.12690628,0.03420704,0.034528323,0.034528323,0.0,0.0,0.17993489
SSDLite,SODA Tiled Multi-label,1.0,0.0012147189,0.0024723825,0.00097063044,5.50055e-05,3.610999e-05,0.004479089,0.012531335,0.015793903,0.015793903,3.457815e-05,0.0018608414,0.07174144
RetinaNet,BDW,0.0,0.28705913,0.63068926,0.22176361,0.0,0.13879603,0.34793192,0.296668,0.39077702,0.39077702,0.0,0.19731605,0.46912563
RetinaNet,BDW,0.25,0.37907293,0.7082951,0.37528148,0.0,0.22268465,0.44310912,0.34567505,0.44523525,0.44523525,0.0,0.27024525,0.51612055
RetinaNet,BDW,0.5,0.42204368,0.7665531,0.43109205,0.0,0.25935277,0.48523262,0.37851527,0.49328268,0.49328268,0.0,0.3202684,0.5633776
RetinaNet,BDW,0.75,0.39239204,0.718653,0.3969123,0.0,0.2291211,0.4561843,0.35997602,0.45689723,0.45689723,0.0,0.27482647,0.53064966
RetinaNet,BDW,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FCOS,BDW,0.0,0.3420441,0.6395823,0.32774994,0.0,0.14069985,0.41594714,0.32077837,0.43963748,0.43963748,0.0,0.2672374,0.50947386
FCOS,BDW,0.25,0.39353725,0.71951824,0.39482036,0.0,0.23764665,0.45835847,0.36781287,0.48023456,0.48023456,0.0,0.335354,0.538944
FCOS,BDW,0.5,0.4608743,0.8159978,0.47805542,0.0,0.2647156,0.53749776,0.40245235,0.55080634,0.55080634,0.0,0.3867191,0.61730015
FCOS,BDW,0.75,0.46111932,0.8203636,0.47388273,0.1,0.31099343,0.5178062,0.39650807,0.54570174,0.54570174,0.1,0.4085146,0.6012919
FCOS,BDW,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Faster R-CNN,BDW,0.0,0.30549768,0.68433625,0.23063098,0.0,0.13014929,0.37298596,0.29410902,0.3943356,0.3943356,0.0,0.1813975,0.48056543
Faster R-CNN,BDW,0.25,0.37294546,0.69168985,0.3692892,0.15,0.20800225,0.43720916,0.33813143,0.44067708,0.44067708,0.3,0.26140675,0.51323724
Faster R-CNN,BDW,0.5,0.40725413,0.7358949,0.417959,0.0,0.24437064,0.47129336,0.36154872,0.47335732,0.47335732,0.0,0.29254976,0.5466018
Faster R-CNN,BDW,0.75,0.40526664,0.7508343,0.39520857,0.0,0.23111342,0.47435245,0.3699187,0.4803812,0.4803812,0.0,0.28301713,0.5603258
Faster R-CNN,BDW,1.0,3.7202582e-08,2.917548e-07,0.0,0.0,1.320574e-07,0.0,0.0,0.0,0.000106624015,0.0,0.00037019898,0.0
SSD,BDW,0.0,0.20929582,0.43349692,0.17589208,0.0,0.06934423,0.26455885,0.21638012,0.2556844,0.2556844,0.0,0.08884776,0.32323536
SSD,BDW,0.25,0.33361048,0.7049146,0.26682723,0.0,0.17223632,0.39949343,0.31997868,0.4074237,0.4074237,0.0,0.2075428,0.48837295
SSD,BDW,0.5,0.36655593,0.7672939,0.30189034,0.0,0.19012308,0.43354443,0.33954418,0.44363588,0.44363588,0.0,0.2502545,0.52196217
SSD,BDW,0.75,0.3831554,0.7671611,0.31815416,0.0,0.2296936,0.4435157,0.35295215,0.4592963,0.4592963,0.0,0.28278574,0.5308182
SSD,BDW,1.0,4.5316116e-05,0.0002759007,9.728141e-07,0.0,2.550902e-05,5.164075e-05,0.0,0.00049313606,0.031120885,0.0,0.011568719,0.039037634
SSDLite,BDW,0.0,0.050101474,0.102494806,0.03993616,0.0,0.0044554453,0.06857872,0.056750633,0.060335867,0.060335867,0.0,0.001434521,0.08417899
SSDLite,BDW,0.25,0.079882964,0.14626908,0.07434314,0.0,0.007920792,0.108813345,0.08106091,0.08713848,0.08713848,0.0,0.0012031466,0.121924736
SSDLite,BDW,0.5,0.085177585,0.15597002,0.080433145,0.0,0.006930693,0.11629696,0.08695189,0.093549244,0.093549244,0.0,0.0011568718,0.13094926
SSDLite,BDW,0.75,0.0868266,0.1560645,0.08044887,0.0,0.006930693,0.11892263,0.089550845,0.09604158,0.09604158,0.0,0.0012956965,0.1343943
SSDLite,BDW,1.0,0.0038003554,0.013052164,0.00096737617,0.0,0.00019246989,0.0072533567,0.01807277,0.067826204,0.20189257,0.0,0.06922721,0.25560758
RetinaNet,UAVVASTE,0.0,0.03121157,0.11837116,0.0032178217,0.020921832,0.09565369,0.035346534,0.02506887,0.04490358,0.04490358,0.021333333,0.1557377,0.2
RetinaNet,UAVVASTE,0.25,0.05535086,0.14686397,0.023795217,0.038965225,0.22363621,0.25247526,0.050964188,0.08842975,0.08842975,0.045666665,0.29344264,0.25
RetinaNet,UAVVASTE,0.5,0.039502442,0.10515984,0.018809205,0.02045049,0.17812596,0.1009901,0.037465565,0.06363636,0.06363636,0.020666666,0.26229507,0.45
RetinaNet,UAVVASTE,0.75,0.037103347,0.09870771,0.02121312,0.026636967,0.20648316,0.037871286,0.04214876,0.073829204,0.073829204,0.032,0.27213115,0.3
RetinaNet,UAVVASTE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FCOS,UAVVASTE,0.0,0.052101348,0.17982963,0.012305707,0.03857196,0.14632516,0.0,0.038567495,0.08099174,0.08099174,0.049,0.2409836,0.0
FCOS,UAVVASTE,0.25,0.115963034,0.2805079,0.060073134,0.085403256,0.29749313,0.3029703,0.07107438,0.15647383,0.15647383,0.107,0.39508197,0.3
FCOS,UAVVASTE,0.5,0.13431363,0.287335,0.09560279,0.09216791,0.3426058,0.4039604,0.08016529,0.17658402,0.1768595,0.12566666,0.42131147,0.4
FCOS,UAVVASTE,0.75,0.11208664,0.30897126,0.05118248,0.077611245,0.31256792,0.3029703,0.07410468,0.1584022,0.1584022,0.100666665,0.43770492,0.3
FCOS,UAVVASTE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Faster R-CNN,UAVVASTE,0.0,0.0516684,0.14073725,0.032792628,0.031798832,0.21498723,0.11361386,0.045454547,0.08236915,0.08236915,0.034,0.30819672,0.45
Faster R-CNN,UAVVASTE,0.25,0.1628966,0.38286364,0.0922653,0.12667933,0.38873166,0.4039604,0.08760331,0.22754821,0.22754821,0.172,0.49508196,0.4
Faster R-CNN,UAVVASTE,0.5,0.14715894,0.33466023,0.10108374,0.11703308,0.34966597,0.35346535,0.081267215,0.20633608,0.20743802,0.15566666,0.45737705,0.35
Faster R-CNN,UAVVASTE,0.75,0.17424189,0.3718559,0.13274387,0.15724127,0.40123037,0.4039604,0.08815427,0.25895315,0.261708,0.21166667,0.5032787,0.4
Faster R-CNN,UAVVASTE,1.0,9.428854e-06,6.0884846e-05,0.0,1.20176455e-05,1.0810908e-05,0.0,0.0,0.0002754821,0.0049586776,0.0046666665,0.006557377,0.0
SSD,UAVVASTE,0.0,0.018168459,0.06693232,0.0023296447,0.011026103,0.084379934,0.08836634,0.025619835,0.036363635,0.036363635,0.008,0.16557378,0.35
SSD,UAVVASTE,0.25,0.010903333,0.039504092,0.0031169783,0.004950495,0.06273967,0.08079208,0.014876033,0.019283747,0.019283747,0.0023333333,0.09016393,0.4
SSD,UAVVASTE,0.5,0.018042477,0.052183382,0.003960396,0.009158416,0.08959316,0.11782178,0.022865014,0.031955924,0.031955924,0.006,0.14918032,0.35
SSD,UAVVASTE,0.75,0.028078195,0.08631179,0.0077421274,0.015346535,0.1325242,0.13465346,0.034986228,0.048209365,0.048209365,0.011333333,0.21803279,0.4
SSD,UAVVASTE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSDLite,UAVVASTE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSDLite,UAVVASTE,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSDLite,UAVVASTE,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSDLite,UAVVASTE,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSDLite,UAVVASTE,1.0,0.00015095032,0.0012266475,0.0,0.0020050125,0.0011082204,0.00035373063,0.0002754821,0.0024793388,0.012947658,0.0033333334,0.05409836,0.2
RetinaNet,Pascal VOC 2012,0.0,0.057167593,0.07673246,0.066337496,0.0,0.0053315037,0.06688072,0.06291689,0.064687975,0.064687975,0.0,0.005699893,0.07573848
RetinaNet,Pascal VOC 2012,0.25,0.07959579,0.10819948,0.09116109,0.0,0.014624538,0.09156289,0.088928275,0.09365906,0.09365906,0.0,0.020281807,0.106866114
RetinaNet,Pascal VOC 2012,0.5,0.088704266,0.119310714,0.10083805,0.0,0.014807087,0.10031713,0.10396883,0.107002825,0.107002825,0.0,0.017536456,0.120936334
RetinaNet,Pascal VOC 2012,0.75,0.069304466,0.101821676,0.08071893,0.0,0.008315348,0.07952717,0.07539633,0.08017719,0.08017719,0.0,0.014177486,0.091074005
RetinaNet,Pascal VOC 2012,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FCOS,Pascal VOC 2012,0.0,0.1806734,0.25616956,0.20017813,0.0018151816,0.050048284,0.20238775,0.22409502,0.2566345,0.2566345,0.0013888889,0.08168981,0.28288868
FCOS,Pascal VOC 2012,0.25,0.21972662,0.3280155,0.23763855,0.0066006603,0.06886994,0.24662161,0.26116827,0.313344,0.313344,0.0058531747,0.11597537,0.3428392
FCOS,Pascal VOC 2012,0.5,0.21423905,0.30313453,0.23558113,0.008828383,0.06523007,0.2400887,0.24627832,0.2881259,0.2881259,0.008134921,0.10312638,0.3167989
FCOS,Pascal VOC 2012,0.75,0.22691478,0.33331102,0.24926637,0.0018633113,0.07637702,0.2556237,0.27081165,0.32019165,0.3202023,0.0017857143,0.12807964,0.35091045
FCOS,Pascal VOC 2012,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Faster R-CNN,Pascal VOC 2012,0.0,0.30668202,0.509057,0.3346032,0.014878794,0.11455653,0.3451727,0.32336104,0.41553354,0.41557154,0.035515875,0.18553732,0.4540405
Faster R-CNN,Pascal VOC 2012,0.25,0.28203645,0.47439235,0.3015338,0.06182537,0.1058849,0.3151602,0.30426362,0.3973148,0.39806858,0.0906746,0.20182212,0.42541865
Faster R-CNN,Pascal VOC 2012,0.5,0.18659107,0.3340569,0.19358885,0.02464384,0.07613771,0.21047075,0.21028209,0.2779222,0.278048,0.042162698,0.13483073,0.30167416
Faster R-CNN,Pascal VOC 2012,0.75,0.19511195,0.34893307,0.19423796,0.0159193,0.08844103,0.21495269,0.21524541,0.28563663,0.28570533,0.046031747,0.1477517,0.3048616
Faster R-CNN,Pascal VOC 2012,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSD,Pascal VOC 2012,0.0,0.16664301,0.26801682,0.18705931,0.0,0.0048784087,0.19382748,0.18961067,0.20169628,0.20169628,0.0,0.0041344636,0.23428142
SSD,Pascal VOC 2012,0.25,0.1951133,0.32166603,0.2172525,0.0,0.004782904,0.22664762,0.21803837,0.23900324,0.23900324,0.0,0.0045561963,0.27788728
SSD,Pascal VOC 2012,0.5,0.20638216,0.32946247,0.23146485,0.0,0.002423137,0.24011764,0.22851491,0.24930032,0.24930032,0.0,0.0018071024,0.2897129
SSD,Pascal VOC 2012,0.75,0.24186602,0.38200465,0.2658548,0.0,0.0033438578,0.2829235,0.25923643,0.2898912,0.2898912,0.0,0.0029973905,0.3393208
SSD,Pascal VOC 2012,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSDLite,Pascal VOC 2012,0.0,0.27653536,0.40358973,0.3125442,0.0,0.00026055236,0.3260503,0.29236293,0.33898154,0.33898154,0.0,0.00011722954,0.40023515
SSDLite,Pascal VOC 2012,0.25,0.31729636,0.4593974,0.35759345,0.0,0.0017717561,0.3746138,0.32986408,0.38522395,0.38522395,0.0,0.0012683021,0.45528647
SSDLite,Pascal VOC 2012,0.5,0.31010753,0.44730812,0.35351717,0.0,0.00026055236,0.36694667,0.3211118,0.37488365,0.37488365,0.0,7.0850205e-05,0.44407856
SSDLite,Pascal VOC 2012,0.75,0.304525,0.4418476,0.34837252,0.0,0.00031266286,0.35932902,0.31568715,0.36890334,0.36890334,0.0,0.000111103356,0.43701753
SSDLite,Pascal VOC 2012,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
